Thu Nov  7 12:46:48 2019	0Sending
Thu Nov  7 12:46:50 2019	1Sending
Thu Nov  7 12:46:51 2019	2Sending
Thu Nov  7 12:46:53 2019	3Sending
Thu Nov  7 12:46:54 2019	0Re-sending
Thu Nov  7 12:46:55 2019	1Re-sending
Thu Nov  7 12:46:57 2019	2Re-sending
Thu Nov  7 12:46:58 2019	3Re-sending
Thu Nov  7 12:47:01 2019	0Re-sending
Thu Nov  7 12:47:02 2019	1Re-sending
Thu Nov  7 12:47:03 2019	2Re-sending
Thu Nov  7 12:47:05 2019	3Re-sending
Thu Nov  7 12:47:07 2019	0Re-sending
Thu Nov  7 12:47:09 2019	1Re-sending
Thu Nov  7 12:47:10 2019	2Re-sending
Thu Nov  7 12:47:11 2019	3Re-sending
Thu Nov  7 12:47:14 2019	0Re-sending
Thu Nov  7 12:47:15 2019	1Re-sending
Thu Nov  7 12:47:17 2019	2Re-sending
Thu Nov  7 12:47:18 2019	3Re-sending
Thu Nov  7 12:47:21 2019	4Sending
Thu Nov  7 12:47:24 2019	1Re-sending
Thu Nov  7 12:47:25 2019	2Re-sending
Thu Nov  7 12:47:26 2019	3Re-sending
Thu Nov  7 12:47:28 2019	4Re-sending
Thu Nov  7 12:47:32 2019	1Re-sending
Thu Nov  7 12:47:33 2019	2Re-sending
Thu Nov  7 12:47:35 2019	3Re-sending
Thu Nov  7 12:47:36 2019	4Re-sending
Thu Nov  7 12:47:40 2019	1Re-sending
Thu Nov  7 12:47:42 2019	2Re-sending
Thu Nov  7 12:47:43 2019	3Re-sending
Thu Nov  7 12:47:44 2019	4Re-sending
Thu Nov  7 12:47:49 2019	1Re-sending
Thu Nov  7 12:47:50 2019	2Re-sending
Thu Nov  7 12:47:51 2019	3Re-sending
Thu Nov  7 12:47:53 2019	4Re-sending
Thu Nov  7 12:47:57 2019	1Re-sending
Thu Nov  7 12:47:58 2019	2Re-sending
Thu Nov  7 12:48:00 2019	3Re-sending
Thu Nov  7 12:48:01 2019	4Re-sending
Thu Nov  7 12:48:05 2019	1Re-sending
Thu Nov  7 12:48:07 2019	2Re-sending
Thu Nov  7 12:48:08 2019	3Re-sending
Thu Nov  7 12:48:09 2019	4Re-sending
Thu Nov  7 12:48:13 2019	1Re-sending
Thu Nov  7 12:48:15 2019	2Re-sending
Thu Nov  7 12:48:16 2019	3Re-sending
Thu Nov  7 12:48:18 2019	4Re-sending
Thu Nov  7 12:48:22 2019	1Re-sending
Thu Nov  7 12:48:23 2019	2Re-sending
Thu Nov  7 12:48:25 2019	3Re-sending
Thu Nov  7 12:48:26 2019	4Re-sending
Thu Nov  7 12:48:31 2019	5Sending
Thu Nov  7 12:48:33 2019	5Re-sending
